Class,Solution treatment time (h),Solution treatment temperature (¡æ),Solution cooling way,Aging treatment time (h),Aging treatment temperature (¡æ),Aging cooling way,2nd aging treatment time (h),2nd aging treatment temperature (¡æ),2nd aging cooling way,C (mass%),Si (mass%),Ni (mass%),Mo (mass%),W (mass%),Al (mass%),N (mass%),Nb+Ta (mass%),B (mass%),V (mass%),Ti (mass%),Fe (mass%),Zr (mass%),Sn (mass%),Test temperature (¡æ),Test stress (MPa),Creep rupture life (h),Truth,Prediction
35,2,960,1,2,700,1,0,0,0,0.06,0.31,0.017,0.5,0,6.04,0.01,0.6,0,0,85.13,0.024,3.2,3.98,650,220,26.99999999,1.431363764,1.3946302
36,2,1080,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,220.0000001,2.342422681,2.021441
37,2,1055,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,64,1.806179974,1.8753008
38,2,1045,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,55,1.740362689,1.8168445
39,2,1000,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,33.00000001,1.51851394,1.5537949
40,2,970,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,21.00000001,1.322219295,1.4088783
41,2,1065,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,269,2.42975228,2.122127
42,2,1040,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,117.0000001,2.068185862,2.0280952
43,2,1025,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,102.0000001,2.008600172,1.9637029
44,2,1000,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,71,1.851258349,1.8173547
45,2,970,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,33.00000001,1.51851394,1.6419331
46,1,950,3,24,600,1,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,125,22.06999999,1.343802333,1.4801035
47,1,950,3,24,600,1,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,250,1.229999999,0.089905111,0.25180128
48,1,950,3,24,600,1,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,319,0.25,-0.602059991,-0.42199498
49,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,125,14.00000001,1.146128036,1.2048771
50,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,250,0.619999999,-0.207608311,-0.059938625
51,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,319,0.17,-0.769551079,-0.67269576
52,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0,4,89.48,0.2,0,0,475,300,148.3300001,2.171228997,2.2629745
53,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0,4,89.48,0.2,0,0,500,300,46.67000001,1.669037801,1.7731619
54,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0,4,89.48,0.2,0,0,550,300,28.61000001,1.456517858,1.5148172
55,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.06,4,89.42,0.2,0,0,475,300,750,2.875061263,2.99064
56,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.06,4,89.42,0.2,0,0,500,300,154.7200001,2.189546457,2.3105822
57,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.06,4,89.42,0.2,0,0,550,300,6.890000001,0.838219222,0.99388254
58,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.11,4,88.92,0.2,0,0,475,300,4722.219997,3.674146216,3.7337487
59,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.11,4,88.92,0.2,0,0,500,300,185.28,2.267828542,2.3469596
60,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.11,4,88.92,0.2,0,0,550,300,7.670000001,0.884795364,0.66696024
61,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,5.98,0.005,0,0,4.07,89.74,0.2,0,0,600,222,2.190000001,0.340444115,0.41099316
62,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,5.98,0.005,0,0,4.07,89.74,0.2,0,0,600,250,0.829999999,-0.080921908,0.01419054
63,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,5.98,0.005,0,0,4.07,89.74,0.2,0,0,600,278,0.34,-0.468521083,-0.36937225
64,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,5.98,0.005,0,0,4.07,89.74,0.2,0,0,600,300,0.19,-0.721246399,-0.60389763
65,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,500,291,2.810000001,0.44870632,0.44611824
66,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,500,361,1.299,0.113609151,0.033837005
67,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,500,465,0.126,-0.899629455,-0.99141735
68,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,500,520,0.013,-1.886056648,-1.9155376
69,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,600,97,0.272,-0.565431096,-0.6119911
70,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,600,125,0.105,-0.978810701,-0.8841328
71,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,600,291,0.00281,-2.55129368,-2.4935963
72,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,600,319,0.00157,-2.804100348,-2.7146485
73,1.5,1020,1,4,700,1,0,0,0,0.05,0.4,0,0.5,0.8,5.8,0,1.3,0,0,83.65,0,3.5,4,650,240,174.4999999,2.241795431,2.2217395
74,2,1050,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,300,304.8000002,2.484014963,2.159307
75,2,1050,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,350,89,1.949390007,1.8619387
76,2,1050,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,400,37.50000002,1.574031268,1.5563864
77,2,1030,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,250,455.0000004,2.658011397,2.6127174
78,2,1030,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,300,110,2.041392685,2.095749
79,2,1030,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,350,52.00000004,1.716003344,1.7987175
80,2,1030,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,400,30.00000002,1.477121255,1.5021939
81,2,1010,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,250,279.9999998,2.447158031,2.5529287
82,2,1010,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,300,103.0000001,2.012837225,2.032191
83,2,1010,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,350,56,1.748188027,1.735813
84,2,1010,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,400,21.00000001,1.322219295,1.4456387
85,2,990,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,250,250.0000002,2.397940009,2.49261
86,2,990,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,300,78,1.892094603,1.9686639
87,2,990,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,350,38.00000003,1.579783597,1.6745008
88,2,990,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,400,19,1.278753601,1.3787594
